OTU	90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001	90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001	90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001	90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001	90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001	90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001	90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001	90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001	90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001	90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001	90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001	90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001	90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001	90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001	90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001	90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001	90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001	90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001	90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001	90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001	90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001	90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001
Archaea;Euryarchaeota;Halobacteria;Haloferacales;unkn. Haloferacales(o);unkn. Haloferacales(o);unkn. Haloferacales(o)	0.00047	0.00074	0.00104	0.00049	0.0015	0.00135	0.00161	0.00156	1e-04	0.00037	0.00121	0.00145	0.00105	0.001	0.00044	0.00203	0.00043	0.00184	0.0012	0.0013	0.00088	0.0015
Archaea;Euryarchaeota;Halobacteria;Haloferacales;unkn. Haloferacales(o);unkn. unkn. Haloferacales(o)(f);unkn. unkn. Haloferacales(o)(f)	0	0	0	0	0	6e-05	0	0	0	0	0	0.00016	0.00014	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Halobiforma;Halobiforma lacisalsi	0	0	0	0	0	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Halobiforma;unkn. Halobiforma(g)	0	0	0	0	0	6e-05	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Halopiger;unkn. Halopiger(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014	0.00023	4e-05	3e-05
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Haloterrigena;unkn. Haloterrigena(g)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-05	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrialba;unkn. Natrialba(g)	0	0	0	0	0	0	0	0	0	0	0	0	7e-05	0	0	0	0	0	7e-05	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrinema;Natrinema pellirubrum	0	0	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrinema;unkn. Natrinema(g)	0	0	0	0	8e-05	0	0	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Salinarchaeum;Salinarchaeum sp. Harcht-Bsk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-05
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;unkn. Natrialbaceae(f);unkn. Natrialbaceae(f)	0.00062	0	0.00056	0.00057	0.00083	0.00023	4e-04	0.00045	0.00019	0.00037	3e-04	0.00048	0.00056	0.00038	0.00051	0.00051	0.00035	0.00123	0.00042	0.00015	5e-04	4e-04
Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;unkn. Natrialbaceae(f);unkn. unkn. Natrialbaceae(f)(g)	0.00016	0	0	0	0	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Natrialbales;unkn. Natrialbales(o);unkn. Natrialbales(o);unkn. Natrialbales(o)	0.00155	4e-04	0.00112	0.00049	0.00113	0.00102	0.00161	0.001	0.00087	0.00139	0.00159	0.00137	0.00042	0.00062	0.00051	0.00144	0.00139	0.00266	0.00092	0.00099	0.00117	0.0013
Archaea;Euryarchaeota;Halobacteria;unkn. Halobacteria(c);unkn. Halobacteria(c);unkn. Halobacteria(c);unkn. Halobacteria(c)	0.00372	0.00228	0.00304	0.00228	0.0051	0.00418	0.00508	0.00446	0.00271	0.00427	0.0046	0.005	0.00259	0.00338	0.00297	0.00738	0.00599	0.00716	0.00592	0.0029	0.00558	0.00466
Archaea;Euryarchaeota;Halobacteria;unkn. Halobacteria(c);unkn. Halobacteria(c);unkn. unkn. Halobacteria(c)(f);unkn. unkn. Halobacteria(c)(f)	0	0	0	0	0	6e-05	0	0	0	0	8e-05	0	0	8e-05	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;unkn. Halobacteria(c);unkn. unkn. Halobacteria(c)(o);unkn. unkn. Halobacteria(c)(o);unkn. unkn. Halobacteria(c)(o)	0	0	0	0	0	0	0	0	0	0	0	8e-05	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter millerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-05	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter ruminantium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-05
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter sp. YE315	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;unkn. Methanobrevibacter(g)	0.00016	0	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;Methanosphaera sp. BMS	0	0	0	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;unkn. Methanosphaera(g)	0	0	0	0	0	0	0	0	0	9e-05	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;unkn. Methanobacteriaceae(f);unkn. Methanobacteriaceae(f)	0.00031	0	8e-05	0	0	6e-05	0	0	0	0	0	0	7e-05	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;unkn. Methanothermus(g)	0	0.00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;unkn. Methanothermaceae(f);unkn. Methanothermaceae(f)	0	7e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;unkn. Methanobacteriales(o);unkn. Methanobacteriales(o);unkn. Methanobacteriales(o)	0	0.00013	0	0	0	6e-05	8e-05	0	0	0	0	0	0	0	0	8e-05	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;unkn. Methanobacteria(c);unkn. Methanobacteria(c);unkn. Methanobacteria(c);unkn. Methanobacteria(c)	0	0	0	0	0	0	0	0	0	0	8e-05	0	7e-05	0	0	0	9e-05	0	0	0	0	0
