logFC	minuslog10FDR	threshold
Bacteria;Acidobacteria;Solibacteres;unkn. Solibacteres(c);unkn. Solibacteres(c);unkn. Solibacteres(c);unkn. Solibacteres(c)	0.421019030674049	0.526492852147915	gray23
Bacteria;Acidobacteria;unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);uncultured Acidobacteria bacterium	0.652141666943926	1.25072975262034	gray23
Bacteria;Acidobacteria;unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);uncultured Acidobacteria bacterium A12	-0.414910174352729	0.0970186809354624	gray23
Bacteria;Acidobacteria;unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);uncultured Acidobacteria bacterium Rifle_16ft_4_minimus_38982	0.929691798401096	0.188250192085049	gray23
Bacteria;Acidobacteria;unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p)	0.385322299742028	1.28879800337623	gray23
Bacteria;Acidobacteria;unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. unkn. Acidobacteria(p)(g)	0.344959273113752	0.385029845103866	gray23
Bacteria;Acidobacteria;unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. unkn. Acidobacteria(p)(f);unkn. unkn. Acidobacteria(p)(f)	0.600804427044124	1.59111450429908	red2
Bacteria;Acidobacteria;unkn. Acidobacteria(p);unkn. Acidobacteria(p);unkn. unkn. Acidobacteria(p)(o);unkn. unkn. Acidobacteria(p)(o);unkn. unkn. Acidobacteria(p)(o)	0.0872843216172372	0.070751484420299	gray23
Bacteria;Acidobacteria;unkn. Acidobacteria(p);unkn. unkn. Acidobacteria(p)(c);unkn. unkn. Acidobacteria(p)(c);unkn. unkn. Acidobacteria(p)(c);unkn. unkn. Acidobacteria(p)(c)	0.571499935834349	1.07908168821065	gray23
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;Acidimicrobium ferrooxidans	1.4186380475861	0.431427200343885	gray23
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;unkn. Acidimicrobium(g)	0.772257233049982	0.355646502448652	gray23
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;Ilumatobacter coccineus	1.18360391455002	2.93426123030186	red2
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;unkn. Ilumatobacter(g)	1.22631874283384	5.69095734051275	red2
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;unkn. Acidimicrobiaceae(f);unkn. Acidimicrobiaceae(f)	1.16924761819681	7.46224226774462	red2
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;unkn. Acidimicrobiales(o);unkn. Acidimicrobiales(o);unkn. Acidimicrobiales(o)	1.15112613667329	5.58663242887689	red2
Bacteria;Actinobacteria;Acidimicrobiia;unkn. Acidimicrobiia(c);unkn. Acidimicrobiia(c);unkn. Acidimicrobiia(c);unkn. Acidimicrobiia(c)	1.0985787107361	4.66283229754818	red2
Bacteria;Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;Acidothermus;Acidothermus cellulolyticus	1.54882724264278	0.372465168652356	gray23
Bacteria;Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;Acidothermus;unkn. Acidothermus(g)	1.63185345042488	0.496067743886902	gray23
Bacteria;Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;unkn. Acidothermaceae(f);unkn. Acidothermaceae(f)	0.240157297356059	0.0717177304802954	gray23
