"OTU","90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001","90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001","90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001","90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001","90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001","90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001","90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001","90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001","90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001","90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001","90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001","90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001","90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001","90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001","90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001","90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001","90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001","90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001","90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001","90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001","90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001","90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001","Taxonomic lineage"
"Magnaporthe","0","0","0","0","0","0.00011","8.0E-5","0","0","9.0E-5","8.0E-5","0.00016","0.00014","0","0","0","0.00061","0.0002","7.0E-5","8.0E-5","0.00025","0.00017","Eukaryota;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Magnaporthe"
"Magnetococcus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0E-5","Bacteria;Proteobacteria;Alphaproteobacteria;Magnetococcales;Magnetococcaceae;Magnetococcus"
"Magnetospira","0.00016","0.00027","0","8.0E-5","0.00015","6.0E-5","0.00016","0.00033","0.0001","0","0.00015","0.00016","7.0E-5","0","0","0.00017","0","0","0.00021","0.00053","8.0E-5","0.00011","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospira"
"Magnetospirillum","0.00372","0.0061","0.00943","0.00781","0.00758","0.00847","0.00629","0.0058","0.00378","0.00315","0.0071","0.00839","0.00308","0.00469","0.005","0.00483","0.00373","0.0047","0.00733","0.00641","0.00537","0.00591","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum"
"Magnetovibrio","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetovibrio"
"Magnisphaera","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00026","0","0","0","0","0","Eukaryota;Ascomycota;Sordariomycetes;Microascales;Halosphaeriaceae;Magnisphaera"
"Magnolia","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Magnoliales;Magnoliaceae;Magnolia"
"Mahella","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family IV. Incertae Sedis;Mahella"
"Maireana","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Caryophyllales;Chenopodiaceae;Maireana"
"Malaconothrus","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Malaconothridae;Malaconothrus"
"Malassezia","0.00016","7.0E-5","0","0.00016","8.0E-5","6.0E-5","8.0E-5","0","0.0001","9.0E-5","0","0","0","0.00023","0","0","0.00043","0.0047","0.00042","0.00244","0.00155","0.0071","Eukaryota;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia"
"Malawimonas","0","0","0","0","0","0","8.0E-5","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","3.0E-5","Eukaryota;unkn. Eukaryota(d);unkn. Eukaryota(d);unkn. Eukaryota(d);Malawimonadidae;Malawimonas"
"Mallomonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0E-5","Eukaryota;unkn. Eukaryota(d);Synurophyceae;Synurales;Mallomonadaceae;Mallomonas"
"Malus","0.00248","0.00087","0.00128","0.00114","0.0003","6.0E-5","8.0E-5","0.00067","0.00068","0.00093","8.0E-5","0.00065","0.00028","0.00115","0.00087","8.0E-5","0.00096","0","0","0.00061","4.0E-5","0.0002","Eukaryota;Streptophyta;unkn. Streptophyta(p);Rosales;Rosaceae;Malus"
"Malva","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00078","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Malvales;Malvaceae;Malva"
"Mandrillus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.0E-5","0","0","0","0","0","Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Mandrillus"
"Manihot","0.00031","0.00013","0","8.0E-5","0","0","0","0.00022","0","0","0","0","0","8.0E-5","0.00015","8.0E-5","0.00017","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Malpighiales;Euphorbiaceae;Manihot"
"Manis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","Eukaryota;Chordata;Mammalia;Pholidota;Manidae;Manis"
"Mannheimia","0","0","0","0","0","0","0","0","0.00019","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia"
"Mantamonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","8.0E-5","0","0","0","0","0","0","Eukaryota;unkn. Eukaryota(d);unkn. Eukaryota(d);unkn. Eukaryota(d);Mantamonadidae;Mantamonas"
"Marasmius","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00122","0","0","0","0","0","Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Marasmius"
"Marcelleina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Eukaryota;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Marcelleina"
"Mardivirus","0","7.0E-5","8.0E-5","0","0","0","8.0E-5","0","0","0","0","0","0","8.0E-5","0","0","9.0E-5","0","7.0E-5","0","8.0E-5","0","Viruses;unkn. Viruses(d);unkn. Viruses(d);Herpesvirales;Herpesviridae;Mardivirus"
"Maribacter","0","0","0","0","0","0","0","0","0","0","0","0","0.00014","0","0","8.0E-5","0","0","0","0","4.0E-5","0","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter"
"Maricaulis","0","7.0E-5","0.00016","0.00016","0","0.00023","8.0E-5","0.00022","0.00019","0.00028","0.00023","0","0","0.00015","7.0E-5","0","0","0","0.00014","0","8.0E-5","0.00028","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Maricaulis"
"Marichromatium","0.00078","0.00107","0.00104","0.00163","0.0006","0.00073","0.00065","0.00045","0.00174","0.00074","0.00075","0.00137","0.00049","0.00023","0.00058","0.00136","0.00035","0.00082","0.00071","0.00061","0.00075","0.00065","Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium"
"Marimicrobium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Marimicrobium"
"Marinicauda","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Marinicauda"
"Marinimicrobium","0","0","0.00016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Marinimicrobium"
"Marinithermus","0","0","0","0","0","6.0E-5","8.0E-5","0","0","0","8.0E-5","8.0E-5","0","0","7.0E-5","0","0","0","0","0","0","0","Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Marinithermus"
"Marinobacter","0.00062","0.00081","0.00072","0.00024","0.00045","0.00062","0.00032","0.00056","0.00126","0.00074","0.00083","0.00137","0.00014","8.0E-5","0.00044","8.0E-5","0","0","0.00021","8.0E-5","4.0E-5","3.0E-5","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter"
"Marinobacterium","0","0","8.0E-5","8.0E-5","0","6.0E-5","0.00024","0.00022","0.00019","9.0E-5","0","0.00024","0","0","7.0E-5","0","0","0","0.00028","0","0","3.0E-5","Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium"
"Marinomonas","0.00016","0","0","0","0","6.0E-5","0","0","0.0001","9.0E-5","0","0","0","0","0","8.0E-5","0","0.00061","7.0E-5","0","0","3.0E-5","Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas"
"Marinovum","0.00155","0.00027","0.00104","0.00057","0.00098","0.00107","0.00065","0.00134","0.00058","0.00111","0.00128","0.00073","0.00105","8.0E-5","0.00036","0.00068","0.00026","0","0.00099","0.0016","0.0008","0.00057","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinovum"
"Mariprofundus","0","0","0","0","8.0E-5","0","0","0","0.0001","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","6.0E-5","Bacteria;Proteobacteria;Zetaproteobacteria;Mariprofundales;Mariprofundaceae;Mariprofundus"
"Maritalea","0","7.0E-5","0.00024","0","8.0E-5","0","0.00024","0.00011","0","9.0E-5","0","0","0","0","0","8.0E-5","0","0","0","0","4.0E-5","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Maritalea"
"Marivirga","0.00031","0.0002","0.0004","0.00049","0.00023","0.00034","0.00016","0.00045","0.00029","0.00046","0.0003","8.0E-5","0.00049","0.00054","7.0E-5","0.00017","0.00017","0.00041","0.00021","0.00031","0.00042","6.0E-5","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marivirga"
"Marivivens","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","7.0E-5","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivivens"
"Marmoricola","0.112","0.03549","0.07747","0.04655","0.20401","0.10834","0.17312","0.17144","0.13503","0.11664","0.07911","0.09779","0.21933","0.1759","0.17748","0.19523","0.16267","0.1086","0.25893","0.30002","0.18515","0.32604","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola"
"Marssonina","0","7.0E-5","0","0","0.00023","0.00011","0","0","0","0","0","0.00024","0","0","7.0E-5","0","0.00122","0.00041","0.00028","0.00023","4.0E-5","0.00014","Eukaryota;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Marssonina"
"Martelella","0.00652","0.00946","0.00983","0.00757","0.00705","0.00768","0.00557","0.00547","0.00911","0.01123","0.00566","0.00855","0.00714","0.00777","0.00544","0.00492","0.00287","0.00184","0.00268","0.00191","0.00285","0.00223","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Martelella"
"Marvania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00023","4.0E-5","0","Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Marvania"
"Massariosphaeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","7.0E-5","0","0","0","Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;unkn. Pleosporales(o);Massariosphaeria"
"Massilia","0.13139","0.03381","0.03878","0.04069","0.07485","0.01603","0.03267","0.0269","0.11691","0.10495","0.03827","0.0234","0.61223","0.1782","0.04265","0.07926","0.17935","0.11719","0.63357","0.29368","6.21816","0.11754","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia"
"Masthermannia","0","0","0.00016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Nanhermanniidae;Masthermannia"
"Mastixia","0","0","0","8.0E-5","0","0","0","0","0.00019","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Cornales;Nyssaceae;Mastixia"
"Matricaria","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Asterales;Asteraceae;Matricaria"
"Mattirolomyces","0","0","0","0","8.0E-5","0.00113","0.00226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Mattirolomyces"
"Maylandia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0E-5","3.0E-5","Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Maylandia"
"Mayorella","0","7.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;unkn. Eukaryota(d);unkn. Eukaryota(d);Longamoebia;unkn. Longamoebia(o);Mayorella"
"Medeolaria","0.00016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Ascomycota;Leotiomycetes;Medeolariales;Medeolariaceae;Medeolaria"
"Medicago","0.00202","0.00067","0.00032","0.00049","8.0E-5","0","0.00024","0.00011","0.00029","0.00037","0.00023","0.00016","0","0.00054","0.00073","0","0.00035","0.00041","0.00021","0.00031","4.0E-5","0.00011","Eukaryota;Streptophyta;unkn. Streptophyta(p);Fabales;Fabaceae;Medicago"
"Medusagyne","0.00016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Malpighiales;Ochnaceae;Medusagyne"
"Megachile","0","0","0","0","0","0","0","0.00045","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","3.0E-5","Eukaryota;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachile"
"Megalobrama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Megalobrama"
"Megalohypha","0","0","0","0","8.0E-5","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Ascomycota;Dothideomycetes;Jahnulales;unkn. Jahnulales(o);Megalohypha"
"Megamonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00017","0","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas"
"Megasphaera","0.00016","0","0","8.0E-5","0","0","8.0E-5","0.00011","0","9.0E-5","8.0E-5","0","7.0E-5","0","0","0","0","0","0","0","4.0E-5","0.0002","Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera"
"Meiothermus","0.00031","0.00034","0.00024","8.0E-5","0.00023","6.0E-5","0.00024","0.00011","0.0001","0","8.0E-5","0.00032","0","0.00015","7.0E-5","0.00025","0.00017","0.0002","0.00014","0.00015","0.00013","0.0002","Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Meiothermus"
"Melaminivora","0.02048","0.00657","0.00847","0.00928","0.00743","0.00356","0.00444","0.00413","0.00708","0.00872","0.00672","0.00637","0.0163","0.00861","0.00783","0.00788","0.00799","0.01922","0.02362","0.01389","0.01279","0.01105","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Melaminivora"
"Melampsora","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","Eukaryota;Basidiomycota;Pucciniomycetes;Pucciniales;Melampsoraceae;Melampsora"
"Melampyrum","0","0.00013","0","0","0","0","0","0","0","0.00019","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Lamiales;Orobanchaceae;Melampyrum"
"Melanopsichium","0","0","0","0","0","0","0","0.00011","0","0","0","0","0","0","0","0","0","0.0002","0.00021","8.0E-5","0","3.0E-5","Eukaryota;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Melanopsichium"
"Melanotrigonum","0","0","0","0","0","6.0E-5","0","0","0","0","0","0","0","0","0","0","0.00026","0","0","0","0","0","Eukaryota;Ascomycota;Sordariomycetes;Pleurotheciales;Pleurotheciaceae;Melanotrigonum"
"Meleagris","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","7.0E-5","0","0","0","9.0E-5","0","7.0E-5","0.00061","0","3.0E-5","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris"
"Meliniomyces","0","7.0E-5","0","8.0E-5","0","0","0.00016","0.00022","0","0.00037","0.00023","0","7.0E-5","0.00031","0.00029","8.0E-5","0.00174","0.00082","0.00049","0.00076","0.00042","0.00011","Eukaryota;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Meliniomyces"
"Melissa","0.00047","0.00034","0.00024","0","0.00015","0","0","0.00011","0.00029","0.00037","0","0","0","0.00038","0.00022","0","0","0","0","0","0","3.0E-5","Eukaryota;Streptophyta;unkn. Streptophyta(p);Lamiales;Lamiaceae;Melissa"
"Melittangium","0.00202","0.00503","0.00432","0.00586","0.00465","0.00508","0.00452","0.00179","0.00407","0.00427","0.01117","0.00557","0.02106","0.00408","0.00377","0.02848","0.00756","0.01063","0.02517","0.03214","0.0234","0.02298","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Archangiaceae;Melittangium"
"Meloidogyne","0.61462","0.00013","0.00056","0.00212","0.00023","6.0E-5","0.00081","0.0029","0.08889","0.00028","0.00257","0","0","0","0","0","0.00017","0","0.00035","0","0","0","Eukaryota;Nematoda;Chromadorea;Rhabditida;Meloidogynidae;Meloidogyne"
"Menispora","0","0","0","0","0","0","0","0","0","0","0","0.00016","0.00021","0","7.0E-5","0","0","0","0","0","0","0","Eukaryota;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Menispora"
"Mentha","0.00698","0.00148","0.00136","0.00285","0.00053","0.00011","0","0.00089","0.00145","0.00111","0","0.0004","7.0E-5","0.00177","0.00065","8.0E-5","0.0013","0","0","0.00031","0.00025","6.0E-5","Eukaryota;Streptophyta;unkn. Streptophyta(p);Lamiales;Lamiaceae;Mentha"
"Mercenaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0E-5","0","Eukaryota;Mollusca;Bivalvia;Veneroida;Veneridae;Mercenaria"
"Merlinius","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","Eukaryota;Nematoda;Chromadorea;Rhabditida;Merliniidae;Merlinius"
"Merxmuellera","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00017","0","0","0","0","0","Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Merxmuellera"
"Mesembryanthemum","0","0","8.0E-5","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Caryophyllales;Aizoaceae;Mesembryanthemum"
"Mesenchytraeus","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Annelida;Clitellata;Haplotaxida;Enchytraeidae;Mesenchytraeus"
"Mesocriconema","0","0","0","0","0","0","0","0.00011","0","0","0","0","0","0","0","0","9.0E-5","0","0","0","0","0","Eukaryota;Nematoda;Chromadorea;Rhabditida;Criconematidae;Mesocriconema"
"Mesophyllum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0E-5","Eukaryota;unkn. Eukaryota(d);Florideophyceae;Hapalidiales;Hapalidiaceae;Mesophyllum"
"Mesorhabditis","0","0","0","0","0","0","0","0","0","0","0.00038","0.00016","0","0","0","0","0","0","0","0","0","0","Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Mesorhabditis"
"Mesorhizobium","0.65046","1.05016","1.2211","1.10635","0.568","0.64099","0.65449","0.92551","0.74099","0.65074","0.58503","0.61469","0.08822","0.74405","0.83091","0.20091","0.45181","0.24992","0.10923","0.14093","0.15069","0.12056","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium"
"Mesotoga","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Thermotogae;Thermotogae;Kosmotogales;Kosmotogaceae;Mesotoga"
"Metabelba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0E-5","0","Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Damaeidae;Metabelba"
"Metacrobeles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0E-5","0","Eukaryota;Nematoda;Chromadorea;Rhabditida;Cephalobidae;Metacrobeles"
"Metakosakonia","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00168","0.00011","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Metakosakonia"
"Metallibacterium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0E-5","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Metallibacterium"
"Metapochonia","0","0","0","0","0","0","0","0","0","0","0.00015","0","7.0E-5","0","0","0","0","0","0","8.0E-5","4.0E-5","0","Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Metapochonia"
"Metarhizium","0","0.00027","8.0E-5","8.0E-5","0.00015","0.00011","0.0004","0","0","0.00019","8.0E-5","0.00016","7.0E-5","8.0E-5","0.00022","0.00025","0.0013","0.00409","0.00085","0.0016","0.00088","0.00107","Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Metarhizium"
"Methanobrevibacter","0.00031","0","0.00016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0E-5","6.0E-5","Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter"
"Methanocella","0","0","0","0","0","0","0.00016","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0","Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella"
"Methanococcoides","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides"
"Methanococcus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus"
"Methanoculleus","0.00016","0.0006","0.00016","0.00016","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00015","4.0E-5","6.0E-5","Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus"
"Methanolobus","0.00016","0","0","0","0","0","0","0.00011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus"
"Methanosarcina","0","0","0","8.0E-5","0","0","0","0","0","0","0","8.0E-5","0","8.0E-5","0","0","0","0.00041","7.0E-5","0.00023","4.0E-5","8.0E-5","Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina"
"Methanosphaera","0","0","0","8.0E-5","0","0","0","0","0","9.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera"
"Methanosphaerula","0","0","0","0","0.00015","0.00017","0","0","0","0","0.00015","0.00016","7.0E-5","0","0","8.0E-5","9.0E-5","0.0002","0.00014","0","4.0E-5","0.00014","Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula"
"Methanothermus","0","0.00034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus"
"Methanothrix","0","0","0","0","0","6.0E-5","0","0","0","0.00019","0","0","0","0","0","8.0E-5","0","0","0","0","4.0E-5","0","Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanothrix"
"Methylacidiphilum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae;Methylacidiphilum"
"Methylibium","0.13202","0.04193","0.06436","0.07105","0.0405","0.02089","0.03509","0.03616","0.08899","0.09094","0.0616","0.06592","0.05198","0.08791","0.07275","0.04357","0.04681","0.06054","0.06917","0.06909","0.05233","0.04927","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unkn. Burkholderiales(o);Methylibium"
"Methylobacillus","0.00124","0.00013","0.00016","0.00041","0.0003","0.00023","0","0.00011","0.0001","0.00028","8.0E-5","8.0E-5","0.00021","0","7.0E-5","0.00017","0","0.0002","0.00028","0.00031","4.0E-5","6.0E-5","Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus"
"Methylobacter","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylobacter"
"Methylobacterium","0.09106","0.09271","0.10777","0.09839","0.17851","0.15548","0.15658","0.12222","0.15743","0.14216","0.17604","0.15839","0.39605","0.10845","0.08566","0.29856","0.15972","0.20901","0.22043","0.16131","0.15492","0.13529","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium"
"Methylocaldum","0.00016","0.00013","0.00048","0.00016","0.00045","0.00017","8.0E-5","0.00022","0.0001","9.0E-5","0.00023","8.0E-5","7.0E-5","0.00015","0.00029","8.0E-5","9.0E-5","0.0002","7.0E-5","0.00015","0.00038","0.00031","Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum"
"Methylocapsa","0","0","0","0","0","0.00011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocapsa"
