"OTU","90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001","90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001","90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001","90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001","90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001","90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001","90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001","90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001","90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001","90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001","90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001","90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001","90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001","90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001","90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001","90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001","90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001","90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001","90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001","90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001","90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001","90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001","Taxonomic lineage"
"unkn. Onygenaceae(f)","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","3.0E-5","Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;unkn. Onygenaceae(f)"
"unkn. Onygenales(o)","0.00016","7.0E-5","0.00016","0.00016","0.00023","0.00023","0.00024","0.00033","0.00029","0.00028","0.0003","0.00032","0.00028","8.0E-5","0.00015","8.0E-5","0.00096","0.00082","0.00035","0.00015","0.00038","0.00011","Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;unkn. Onygenales(o);unkn. Onygenales(o)"
"unkn. Oomycetes(c)","0.00062","0.00054","0.00064","0.00057","0.00068","0.00107","0.00016","0.00033","0.00029","0.00084","0.00083","0.00089","0.00098","0.00085","0.00058","0.00127","0.00122","0.00102","0.00169","0.00061","0.00092","0.00102","Eukaryota;unkn. Eukaryota(d);Oomycetes;unkn. Oomycetes(c);unkn. Oomycetes(c);unkn. Oomycetes(c)"
"unkn. Ophiocordycipitaceae(f)","0","0.00054","0.00016","0.00065","0.0003","0.00062","0.00081","0.00045","0.00039","0.00028","0.00045","0.00048","0.00021","0.00038","0.00015","0.00042","0.0046","0.00041","0.00028","0.00031","0.00071","0.00057","Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;unkn. Ophiocordycipitaceae(f)"
"unkn. Ophiostomataceae(f)","0.00047","0.00013","0.00032","0.00049","0.0003","0.00045","0.00089","0.00033","0.00058","0.00028","0.00023","0.00032","0.00084","0.00077","0.00058","0","0.00356","0.00061","0.00042","0.00084","0.00046","0.00017","Eukaryota;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;unkn. Ophiostomataceae(f)"
"unkn. Ophiostomatales(o)","0.00016","0.0002","0.00024","8.0E-5","0.0003","0.0004","0","0.00022","0.00029","0.00019","0.00038","0.00016","0.00021","0.00015","0.00029","0.00025","0.00278","0.00164","7.0E-5","0.00031","0.00055","0.00042","Eukaryota;Ascomycota;Sordariomycetes;Ophiostomatales;unkn. Ophiostomatales(o);unkn. Ophiostomatales(o)"
"unkn. Ophryoscolecidae(f)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0E-5","0","Eukaryota;unkn. Eukaryota(d);Litostomatea;Entodiniomorphida;Ophryoscolecidae;unkn. Ophryoscolecidae(f)"
"unkn. Opisthorchiida(o)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00013","0","Eukaryota;Platyhelminthes;Trematoda;Opisthorchiida;unkn. Opisthorchiida(o);unkn. Opisthorchiida(o)"
"unkn. Opisthorchiidae(f)","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Platyhelminthes;Trematoda;Opisthorchiida;Opisthorchiidae;unkn. Opisthorchiidae(f)"
"unkn. Opitutaceae(f)","0.02839","0.03549","0.04829","0.04541","0.02693","0.04951","0.03913","0.03293","0.04769","0.03535","0.03518","0.03058","0.02211","0.04592","0.04656","0.02306","0.06392","0.13396","0.07164","0.09115","0.08272","0.06355","Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;unkn. Opitutaceae(f)"
"unkn. Opitutae(c)","0.01086","0.01375","0.01695","0.01677","0.01388","0.02219","0.0192","0.01618","0.01619","0.01661","0.01698","0.01662","0.00916","0.016","0.014","0.01568","0.02632","0.03395","0.02799","0.03565","0.03073","0.02745","Bacteria;Verrucomicrobia;Opitutae;unkn. Opitutae(c);unkn. Opitutae(c);unkn. Opitutae(c)"
"unkn. Opitutales(o)","0.01893","0.02046","0.02998","0.02572","0.021","0.02964","0.02888","0.02645","0.0253","0.02301","0.02748","0.02235","0.01511","0.02384","0.02626","0.01806","0.03874","0.0726","0.04647","0.05023","0.05165","0.04492","Bacteria;Verrucomicrobia;Opitutae;Opitutales;unkn. Opitutales(o);unkn. Opitutales(o)"
"unkn. Oppiidae(f)","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Oppiidae;unkn. Oppiidae(f)"
"unkn. Orbaceae(f)","0","0","0","0","8.0E-5","6.0E-5","0","0","0.0001","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;unkn. Orbaceae(f)"
"unkn. Orbales(o)","0","0","0","8.0E-5","0","6.0E-5","0","0","0","0","8.0E-5","0","0","8.0E-5","0","0","0","0.0002","0","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;unkn. Orbales(o);unkn. Orbales(o)"
"unkn. Orbiliaceae(f)","0","7.0E-5","8.0E-5","0","0","6.0E-5","0","0","0","0.00019","0","0","0.00014","8.0E-5","0","0.00017","9.0E-5","0.0002","0","0","4.0E-5","0","Eukaryota;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;unkn. Orbiliaceae(f)"
"unkn. Orbiliales(o)","0","0","0","0","0","6.0E-5","0","0","0","0","8.0E-5","8.0E-5","7.0E-5","0","7.0E-5","0","9.0E-5","0","0.00035","8.0E-5","0","3.0E-5","Eukaryota;Ascomycota;Orbiliomycetes;Orbiliales;unkn. Orbiliales(o);unkn. Orbiliales(o)"
"unkn. Orbiliomycetes(c)","0","0","0","0","8.0E-5","0","0","0","0","9.0E-5","0.00015","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Ascomycota;Orbiliomycetes;unkn. Orbiliomycetes(c);unkn. Orbiliomycetes(c);unkn. Orbiliomycetes(c)"
"unkn. Orchidaceae(f)","0.00016","0.00034","8.0E-5","8.0E-5","0.00015","6.0E-5","8.0E-5","0.00011","0","9.0E-5","0.00023","8.0E-5","0","8.0E-5","0.00015","0","0","0","0","0","8.0E-5","0","Eukaryota;Streptophyta;Liliopsida;Asparagales;Orchidaceae;unkn. Orchidaceae(f)"
"unkn. Ordosporidae(f)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0E-5","0","Eukaryota;Microsporidia;unkn. Microsporidia(p);unkn. Microsporidia(p);Ordosporidae;unkn. Ordosporidae(f)"
"unkn. Orectolobiformes(o)","0","0","0","0","0","0","0","0","0","9.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Chordata;Chondrichthyes;Orectolobiformes;unkn. Orectolobiformes(o);unkn. Orectolobiformes(o)"
